Model,Dataset-Based Prediction,NLP-ML,Sample-and-Dataset-Based Prediction (Sum),Sample-and-Dataset-Based Prediction (Max)
CL:0000182,0.4046454317529814,0.15969688133036622,0.6940785140176218,0.675834847241063
UBERON:0002049,0.2543027043977474,0.5681943508887171,0.35572866735749,0.2511051847525193
UBERON:0012168,0.8517810401142959,0.1973980304052477,0.8515429464561265,0.851556308501774
UBERON:0000117,0.751853587309318,0.8034687022836845,0.7105359688651758,0.751853587309318
UBERON:0000065,0.9418821807682404,0.9851303768674136,0.9628454997899222,0.9665047101315664
UBERON:0000203,0.8241206030150754,1.0,1.0,0.9999999999999998
UBERON:0016529,0.0608478803331744,0.4860379904012306,0.200038169684498,0.1875413126600981
UBERON:0001893,0.8155169105670297,0.9949591038406828,0.8322494198062295,0.8322494198062292
UBERON:0002530,0.6746629840580417,0.7865640809016137,0.7820069472763881,0.784406353049787
UBERON:0001869,0.7645628910523652,0.9996323529411765,0.7622391337674478,0.7643810980184276
CL:0000066,0.2909243276745731,0.31952240603709503,0.3899296778792009,0.3266168379781882
UBERON:0004801,0.7838038431188696,0.039894574999804526,0.980207382828702,0.9802077274615706
UBERON:0005911,0.7188767035767972,0.9340717739267543,0.7188494265631366,0.7188767035767972
CL:0002328,0.7645394624850482,0.8708703509178429,0.7356768545591337,0.7630299742734323
UBERON:0007601,0.7917372021503658,0.977204776702089,0.7917372021503658,0.7917372021503658
UBERON:0000473,0.9095295055821372,0.0028570102541522254,0.9094542811839323,0.9094844549390004
UBERON:0001295,0.4632163497654659,0.7130839754424524,0.7937343039704994,0.7937343039704995
UBERON:0008895,0.1478392726257655,0.3670712772536481,0.402165025335148,0.402165025335148
UBERON:0001981,0.699780046735554,0.7105715047212915,0.699780046735554,0.699780046735554
UBERON:0002385,0.6937764231016521,0.9968938756428237,0.7576383862225824,0.7577595452692207
UBERON:0002973,0.4098511340955989,0.8095238095238094,0.7294014389736477,0.7294014389736477
UBERON:0002097,0.30047302867893,0.6642890856870736,0.7643398217098291,0.7714405058725521
UBERON:0001558,0.9021613594392648,0.9256359198620381,0.9619235272906002,0.962427851334079
UBERON:0003920,0.7503475617814194,0.5428050967034762,0.7503475617814194,0.7503475617814194
UBERON:0001961,0.4361276002072298,0.2864629688911105,0.4393149995521841,0.4389319163444845
UBERON:0000200,0.2371791831351659,0.7450980392156863,0.6665115694988023,0.6665115694988023
UBERON:0002367,0.4137116038450436,0.6170608018041052,0.5168234616202644,0.5169960374339531
UBERON:0002036,0.7407335961759781,1.0,0.781510069752702,0.7815100697527019
UBERON:0002113,0.8028407110470045,0.46312552507666427,0.8090297008862657,0.8217258421384285
UBERON:0004725,0.4039480717453278,0.4521199521199521,0.7234983766233766,0.7234983766233767
UBERON:0005366,0.2815483892139214,0.7044858168453674,0.7108807755775577,0.7108807755775577
UBERON:0001735,0.1632964032236599,0.3216782149176796,0.418047889108471,0.418047889108471
UBERON:0008367,0.3043507968257871,0.04737163422347015,0.6937128139925343,0.694807723715122
CL:0008001,0.3029038500714582,0.8578079397159645,0.991626841620958,0.9916326743126948
UBERON:0002600,0.251496643417702,0.48271225374203036,0.6848977953624833,0.7141471551576177
UBERON:0001890,0.8153581679681396,1.0,0.8262273901808785,0.8262273901808784
UBERON:0019042,0.4824482234934629,0.7173691437452137,0.8052255210217312,0.8052255210217313
UBERON:0010260,0.960575719649562,0.4779295720821399,0.960575719649562,0.960575719649562
UBERON:0003889,0.7164817567821556,0.2177527333476123,0.9216807050047552,0.9213676092272984
UBERON:0010371,0.967472670830289,0.9819188869811194,0.9743980293799512,0.974822317100254
UBERON:0011822,0.944274967349555,1.0,0.9534460074891205,0.9534460074891206
CL:0000235,0.388040869337407,0.46156839385449266,0.4647279854574115,0.4444277272232329
UBERON:0003975,0.3867620686661175,0.22382723487815945,0.3918653971397829,0.3913730700125636
CL:0002535,0.5285336385971438,0.04066787031582063,0.6217907248798374,0.5887350094412184
