,TAGGER,MetaSRA,NLP-ML,Expression,Expression + NLP-ML,Expression + NLP-ML + MetaSRA,N
UBERON:0002346,0.0680840075744534,0.0,0.994914934265363,0.9761328102851445,0.9953636864908413,0.9953636864908413,791.0
UBERON:0000485,0.0132552935100705,0.7042398532997529,0.880331445641233,0.6603267751039059,0.8362890430033338,0.8562817740803605,154.0
UBERON:0002365,0.0791013943880186,0.32844481528996805,0.8409465116821192,0.9177872597513327,0.9239195209590709,0.9536998594761481,919.0
UBERON:0000029,0.5582706766917294,0.7823974697932059,0.4966195164252515,0.9520680445834768,0.8842449577589416,0.9163023270465604,297.0
UBERON:0012069,0.0016353933551385,0.27873725446667785,0.39605486207427953,0.019584204086609276,0.0750710790605228,0.17571523584487977,19.0
UBERON:0000323,0.0059390600791874,0.40411350249570677,0.2466336151166784,0.010880395882395635,0.123195770048823,0.45493996743996745,69.0
UBERON:0000160,0.0662602953428268,0.8773751015863784,0.8570724303878109,0.9590857182534587,0.975649661190482,0.9956564882553762,520.0
CL:0000738,0.2691609845593948,0.533273973907435,0.8594999341373221,0.860058800049566,0.947001495961033,0.9261312913811486,2941.0
UBERON:0000179,0.108452401446032,0.3813854504532337,0.8493471888025562,0.955106856540582,0.9529758033667994,0.9589130983628502,1260.0
UBERON:0001042,0.0016400517911091,0.271706234941529,0.24137339316032014,0.21235785885321917,0.21627828438794577,0.5142284798534799,19.0
UBERON:0019264,0.0213323691584561,0.8142853449796951,0.9950208078335374,1.0,1.0,1.0,236.0
UBERON:0002384,0.0320192804269237,0.2892503092009634,0.8059390624751129,0.893665918804819,0.9254718620819794,0.9111691780262954,372.0
UBERON:0001638,0.8728568655388008,0.2851932316774287,0.5651932793099943,1.0,1.0,1.0,47.0
UBERON:0002048,0.792950604343644,0.6236913042152387,0.7405995843243385,0.8511659844865054,0.7879373920963431,0.9909957496751203,691.0
UBERON:0000923,0.0680840075744534,0.06880978708630607,0.9903040229060387,0.9654431955611955,0.9916309380482445,0.9916309380482445,791.0
UBERON:0012274,0.0132552935100705,0.7067906586602278,0.9315128318445204,0.7064934803208665,0.8106179745196822,0.8642181976621364,154.0
UBERON:0002372,0.1759259259259259,0.2785624463256042,0.5516240406617662,0.12086139274163182,0.29645524827489467,0.5723853964662788,19.0
UBERON:0000451,1.0,0.4892653642653643,0.531147600850127,0.6511959147913349,0.7230113631103858,0.7230113631103858,104.0
UBERON:0016526,0.0162704510530597,0.46125153937422303,1.0,0.9642719117050877,0.9996203135331745,0.9925783869179607,180.0
CL:2000064,0.1148467511974563,0.1788230972898262,0.5586198260936666,0.844819004439843,0.9916151051537645,0.9916151051537645,93.0
UBERON:0002020,0.0203133069375107,0.7836483240820563,0.9403755335016994,0.8955747118539488,0.9043672300388119,0.9731153689578388,236.0
UBERON:0002728,1.0,1.0,0.8806980056980057,0.6956086431029278,0.8361903499819322,1.0,64.0
UBERON:0000945,0.3017042714963284,0.29461749188311687,0.42640603532597526,0.09515599394810895,0.14961421100849387,0.14961421100849387,52.0
UBERON:0001870,0.0094007050528789,0.4057141660082837,0.5824376870091675,0.5182723550439948,0.6596006961840106,0.6596006961840106,104.0
CL:0000542,0.1129584582681359,0.10119479457771867,0.697279488839686,0.8384272370557915,0.8907568503275769,0.8809547921032796,1071.0
UBERON:0002107,0.6687644757110791,0.46705908259687084,0.9196286549167236,0.975264207768786,0.9964112951925082,0.9999943443392493,816.0
UBERON:0001264,0.9489075747592884,0.9924378364521917,0.3367303226573341,0.2461844598160646,0.33340614281654485,1.0,97.0
CL:0000766,0.0191239975323874,0.6917235642786971,0.863642761889597,0.738723649626685,0.8866280766905588,0.8919404658240385,217.0
UBERON:0002368,0.0724737476329833,0.4579544923757434,0.8595134868757904,0.9511327878290243,0.984112220055924,0.9860156490780103,842.0
UBERON:0007592,0.0132552935100705,0.8293782189033839,0.9657988267770877,0.7444908433373293,0.8644861073494695,0.867453972817335,154.0
UBERON:0004815,0.0113832355984822,1.0,0.9672619768724353,0.6754657702625501,0.7974888602513934,0.9959480039715449,132.0
CL:0000084,0.6158694316135654,0.17798271872196733,0.4722568058788035,0.7544221900312198,0.868089044232278,0.8183258192469202,308.0
CL:0002087,0.2418660698915476,0.48134797399338664,0.7866061922016293,0.7992793685968047,0.8247160151721765,0.8873866442818613,2808.0
UBERON:0000956,0.0213323691584561,0.889391842075906,1.0,1.0,1.0,1.0,236.0
UBERON:0004804,0.0053614666205465,0.0,0.28311765376237197,0.2789072264649321,0.3977722708051798,0.3977722708051798,62.0
CL:0002321,0.0019796866930624,1.0,1.0,0.8555555555555555,0.9513888888888888,1.0,23.0
UBERON:0005906,0.0567223274229643,0.0,0.8143929162447587,0.8904756301164755,0.8471134097103865,0.8471134097103865,659.0
CL:0000057,0.7156882086818392,0.9084176146811822,0.7581421057852229,0.9817987761592413,0.9833730158730158,0.9833730158730158,108.0
UBERON:0006955,0.0043237634036665,0.0,0.2580659434819812,0.4919493548666195,0.41833135253739945,0.41833135253739945,50.0
UBERON:0000992,0.8978393501692911,0.9299038770140136,0.7104418469299841,0.7918353694752758,0.9964315889353139,0.9964315889353139,346.0
UBERON:0000955,0.8448957309951319,0.5452079490344348,0.9902320075784251,0.9717587445940377,0.9851704544149523,1.0,791.0
CL:0002553,0.0028839221341023,0.5037089822024472,0.39483334389699604,1.0,1.0,1.0,32.0
UBERON:0011300,0.0213323691584561,0.8869522141229096,1.0,1.0,1.0,1.0,236.0
UBERON:0004765,0.0265966603546221,0.10546044924590445,0.44808139919760814,0.2876679075240812,0.3625215602425516,0.4066384559514772,309.0
CL:0000842,0.7527333405308734,0.7501148133828089,0.875991483886186,0.7118075426666284,0.8651664623998097,0.9783404358686532,1737.0
UBERON:0000178,0.3953686720939799,0.3805620554875392,0.9579388681673757,0.8956492546052607,0.9425244049518227,0.9452880353456287,1260.0
UBERON:0000055,0.1172529938904172,0.2111196495549855,0.4472891994798077,1.0,1.0,1.0,53.0
CL:0000451,1.0,0.6337510442773601,0.12818755051585598,0.9833333333333334,0.8578353811649596,1.0,67.0
UBERON:0001049,0.0680840075744534,0.0,0.9997606631662727,0.9861915174019001,0.9989123633911559,0.9989123633911559,791.0
UBERON:0005291,0.0680840075744534,0.05046696399923014,0.9973315742376201,0.9650343292348416,0.9897839616877878,0.9897839616877878,791.0
UBERON:0000948,0.1511201829673167,0.8688405797101448,0.7371304652002718,1.0,1.0,1.0,112.0
UBERON:0016525,0.0094007050528789,0.4057141660082837,0.7785915448560853,0.720046790033321,0.7680152335833998,0.7680152335833998,104.0
UBERON:0018254,0.0256498536753313,0.9803755224548591,1.0,1.0,1.0,1.0,298.0
UBERON:0004537,0.0040454467206059,0.16297868325661857,0.6219761165822151,0.9859360410831,0.9913690476190478,0.9913690476190478,47.0
UBERON:0001155,0.7577189461985918,0.8778243493384735,0.9864329101392766,0.9917390772359267,0.9963400178020461,0.9993517291466218,506.0
UBERON:0001134,0.4735893504755985,0.46672454254147466,1.0,1.0,1.0,1.0,298.0
UBERON:0000490,0.0137717335169564,0.4566403143256932,0.7923896584679945,0.6107824646939337,0.7229432654424207,0.7403006181245078,160.0
UBERON:0001474,0.0789131809717357,0.10521121142487042,0.5159933216827108,0.2535703009359758,0.41192031448254357,0.4234587225841803,309.0
UBERON:0004802,0.0132552935100705,0.8330978057990125,0.8846358256091783,0.7404248090919433,0.9734557974953042,1.0,154.0
UBERON:0011821,0.0207436736099156,0.8795096273405825,1.0,0.9230794880842319,0.9619577271426335,0.9759551128536905,241.0
CL:0000786,1.0,0.34096803392228286,0.7511032656663725,0.8852428693113699,0.9554347826086956,1.0,388.0
CL:0000945,0.04872491455613,0.11492553069983993,0.6418174211575222,0.5631696412631055,0.5954806786308968,0.7655166370737461,556.0
UBERON:0003914,0.0680840075744534,0.0,0.9614513015110067,0.9609514053024218,0.9741075168782973,0.9741075168782973,791.0
CL:0000037,0.9488141052574898,0.0,0.8372644507872931,0.780314652399074,0.9849049710239424,0.9849049710239424,211.0
UBERON:0001013,0.8862274807513595,0.8847188665788241,1.0,0.9817530904201786,0.9939863976131097,0.9954775133245317,241.0
CL:0000763,0.0445859872611464,0.3618066856945308,0.5675079243246941,0.5310191614217569,0.6435195112175586,0.823685504984967,518.0
UBERON:0000459,0.0071774472500864,0.5971455059158168,0.7130564161582063,0.6948716616149323,0.7483894694566053,0.7508936651548626,83.0
CL:0002620,0.0207491727471059,0.285023775906,0.519538359386416,0.9518197278911564,0.9647619047619047,0.9647619047619047,66.0
CL:0002632,0.0113871635610766,1.0,0.8363321906219301,0.7731894117910739,0.9237335957234969,1.0,132.0
UBERON:0010499,0.0132552935100705,0.8334368033939894,0.8852779357890901,0.5616005796238425,0.7241227104453474,0.8477058414383066,154.0
UBERON:0000922,0.0740230676536409,0.07288255341634824,0.9715594519633737,0.8498276144923803,0.9639483542712164,0.9650038229167558,860.0
UBERON:0002031,0.0113832355984822,1.0,0.8435619451321863,0.7399964279383392,0.7674995827444289,0.9733544070308776,132.0
UBERON:0000002,0.2139147074904319,0.31540528437080156,0.31347371084640413,0.810647031600465,0.8090874205999553,0.8090874205999553,62.0
CL:0000946,0.0344766305313666,0.34096803392228286,0.7511339138263275,0.8026989628618164,0.9632142857142857,1.0,388.0
UBERON:0001744,0.0016353933551385,0.27686339502541585,0.45669710806697106,0.03442496414370508,0.14085988534799057,0.522371649967416,19.0
UBERON:0010316,0.0680840075744534,0.0701803997305989,0.9942865274525111,0.9326652297984784,0.9795203507387169,0.9795203507387169,791.0
UBERON:0034769,0.0020657600275434,0.2111607238497434,0.27010407440060696,0.1412086551862596,0.17588095622949235,0.6786449457683182,24.0
CL:0002202,0.0113871635610766,1.0,0.6441538454802532,0.7465745902559013,0.7532759722142396,1.0,132.0
