,UBERON:0002616,UBERON:0005173,UBERON:0001155,UBERON:0001134,UBERON:0010001,UBERON:0018254,UBERON:0005291,UBERON:0000916,CL:0000842,UBERON:0000178,UBERON:0001049,UBERON:0011300,UBERON:0001017,UBERON:0002417,UBERON:0000955,UBERON:0005906,CL:0000057,UBERON:0014892,CL:0000084,CL:0002087,UBERON:0000956,UBERON:0001004,UBERON:0006598,UBERON:0005156,CL:0000766,UBERON:0002368,UBERON:0007592,UBERON:0002346,UBERON:0000485,UBERON:0002365,UBERON:0000029,UBERON:0001005,UBERON:0005177,UBERON:0002385,UBERON:0001558,UBERON:0016879,UBERON:0002036,UBERON:0001443,UBERON:0001016,UBERON:0002416,UBERON:0013765,UBERON:0000025,UBERON:0001007,UBERON:0000481,UBERON:0000383,UBERON:0002113,UBERON:0001869,CL:0000066,UBERON:0003103,UBERON:0000203,UBERON:0013701,UBERON:0001893,UBERON:0002530,CL:0000576,UBERON:0000117,UBERON:0000065,UBERON:0016526,UBERON:0002020,UBERON:0000160,UBERON:0009569,CL:0000738,UBERON:0000179,UBERON:0019264,UBERON:0011216,UBERON:0000171,UBERON:0016548,UBERON:0009778,UBERON:0011823,UBERON:0004111,UBERON:0002199,UBERON:0013702,UBERON:0011215,UBERON:0000059,UBERON:0000483,UBERON:0005401,UBERON:0002185,UBERON:0000915,UBERON:0004907,UBERON:0000064,UBERON:0004807,UBERON:0011143,UBERON:0010392,UBERON:0001434,UBERON:0003528,UBERON:0001015,UBERON:0000062,UBERON:0000310,UBERON:0000949,UBERON:0010498,CL:0000542,UBERON:0005409,UBERON:0002390,UBERON:0034929,UBERON:0002107,UBERON:0005181,UBERON:0000489,UBERON:0002384,UBERON:0004921,UBERON:0002048,UBERON:0000923,UBERON:0012274,UBERON:0007196,UBERON:0002405,UBERON:0002193,UBERON:0010316,UBERON:0005057,UBERON:0006925,UBERON:0000475,UBERON:0011676,UBERON:0000922,CL:0002620,UBERON:0010499,UBERON:0016880,UBERON:0001013,UBERON:0013522,UBERON:0010394,UBERON:0003914,UBERON:0022303,UBERON:0001630,UBERON:0011821,UBERON:0000072,UBERON:0001008,UBERON:0000490,UBERON:0004802
prior,0.021332369158456117,0.0933895679118609,0.04355310724737476,0.02564985367533138,0.008521260113616801,0.02564985367533138,0.06808400757445343,0.2410914098812188,0.14959545532793941,0.10845240144603202,0.06808400757445343,0.021332369158456117,0.06808400757445343,0.24642795661903943,0.06808400757445343,0.05672232742296437,0.009295920123945601,0.02564985367533138,0.027079134168784505,0.2418660698915476,0.021332369158456117,0.07436736099156481,0.06808400757445343,0.07109657428128766,0.019123997532387416,0.0724737476329833,0.01325529351007058,0.06808400757445343,0.01325529351007058,0.0791013943880186,0.025563780340850405,0.07273196763642624,0.17541745567223274,0.02564985367533138,0.07083835427784473,0.06808400757445343,0.02564985367533138,0.06971940092959202,0.06808400757445343,0.00860733344809778,0.12162162162162163,0.23084868307798245,0.14288173523842312,0.022723360302978137,0.02564985367533138,0.021604406954725427,0.021332369158456117,0.04088483387846445,0.10604234808056465,0.021332369158456117,0.27302461697366154,0.021332369158456117,0.10259941470132553,0.015471311475409836,0.011361680151489069,0.07273196763642624,0.01627045105305975,0.02031330693751076,0.044758133930108454,0.24918230332243071,0.2533138233775176,0.10845240144603202,0.021332369158456117,0.39094508521260113,0.059476674126355655,0.02031330693751076,0.05672232742296437,0.020743673609915646,0.23541056980547426,0.008090893441211913,0.27302461697366154,0.02031330693751076,0.04355310724737476,0.1170597348941298,0.021332369158456117,0.011361680151489069,0.2302461697366156,0.04355310724737476,0.1832501291100017,0.013771733516956448,0.021604406954725427,0.008521260113616801,0.27663969702186264,0.021332369158456117,0.02564985367533138,0.48975727319676365,0.06971940092959202,0.0724737476329833,0.01325529351007058,0.09227061456360819,0.049233947323119295,0.13590979514546395,0.2515923566878981,0.07023584093647788,0.07161301428817353,0.023670166982268894,0.03201928042692374,0.07178516095713548,0.059476674126355655,0.06808400757445343,0.01325529351007058,0.011361680151489069,0.31700809089344123,0.17214666896195557,0.06808400757445343,0.034945773799276984,0.07023584093647788,0.27457393699431915,0.27302461697366154,0.0740230676536409,0.005683775404753703,0.01325529351007058,0.06808400757445343,0.020743673609915646,0.1569977620933035,0.008521260113616801,0.06808400757445343,0.02031330693751076,0.02564985367533138,0.020743673609915646,0.07273196763642624,0.023670166982268894,0.013771733516956448,0.01325529351007058
pos,236.0,1085.0,506.0,298.0,99.0,298.0,791.0,2801.0,1738.0,1260.0,791.0,236.0,791.0,2863.0,791.0,659.0,108.0,298.0,309.0,2810.0,236.0,864.0,791.0,826.0,217.0,842.0,154.0,791.0,154.0,919.0,297.0,845.0,2038.0,298.0,823.0,791.0,298.0,810.0,791.0,100.0,1413.0,2682.0,1660.0,264.0,298.0,251.0,236.0,475.0,1232.0,236.0,3172.0,236.0,1192.0,151.0,132.0,845.0,180.0,236.0,520.0,2895.0,2943.0,1260.0,236.0,4542.0,691.0,236.0,659.0,241.0,2735.0,94.0,3172.0,236.0,506.0,1360.0,236.0,132.0,2675.0,506.0,2129.0,160.0,251.0,99.0,3214.0,236.0,298.0,5690.0,810.0,842.0,154.0,1072.0,572.0,1579.0,2923.0,816.0,832.0,275.0,372.0,834.0,691.0,791.0,154.0,132.0,3683.0,2000.0,791.0,406.0,816.0,3190.0,3172.0,860.0,66.0,154.0,791.0,241.0,1824.0,99.0,791.0,236.0,298.0,241.0,845.0,275.0,160.0,154.0
l1,0.9952102461112755,0.8687712306123324,0.7747334759831258,0.9994904576794731,0.06642105505220332,1.0,0.9789094317789163,0.8831744994756306,0.8388265248948369,0.9090836965126088,0.9757859204416168,0.9800382713279402,0.9758563629032588,0.8892581111591986,0.967088705958254,0.671337319847438,0.8075129154909794,1.0,0.2839950601343427,0.7826037274470199,0.9768808862523645,0.8901053834104783,0.9753738212710469,0.5882311506977703,0.7489338737138406,0.9055032951793404,0.8415431187561683,0.9801257110413931,0.8427576822282671,0.9218119138846393,0.3787647185889466,0.8949110669106674,0.8904378903011736,0.9994904576794731,0.7679281364515093,0.9752421800435087,0.9972956760050812,0.8702620747294102,0.9836764074989741,0.3123505235155957,0.9209790846291623,0.91493367006811,0.7343181674224212,0.7922803835327894,1.0,0.5123521997205666,0.9906246488113791,0.27572182495359365,0.8666963801061082,0.9956797587581439,0.8876395618082468,0.9944906591358986,0.809248848860659,0.6729724090036541,0.46735203040188833,0.8637114650675531,0.9936584139967382,0.6928011538700347,0.8645911096593096,0.9145950921215092,0.7731281157622906,0.9056096693247664,0.9982594394593244,0.8916792844512752,0.746564555671342,0.6521295298339415,0.6328702722885335,0.999679012345679,0.941089141378364,0.2353087392818828,0.8882077139564891,0.6766172212838311,0.7472080401219703,0.815788080864218,0.9779033366694491,0.46580463119030385,0.8727928368351487,0.7701763961057794,0.8838786990886534,0.6870930465336856,0.4546480315256696,0.06420142966784742,0.719933008679993,0.9948285833222869,0.9972956760050812,0.9352904180207031,0.8723013829629527,0.9027533649297604,0.8901380777674902,0.7360920200465645,0.743406664920931,0.7820585553458609,0.8472969364552511,0.9180670432683568,0.7641758819316843,0.3553121613646588,0.828416191471255,0.7543072267728395,0.7348478275689745,0.9763834190814542,0.8993795517923652,0.4672840877439408,0.7907230180234963,0.7036486615505195,0.9799751980918755,0.33089004249767245,0.930694843661001,0.8746353568014326,0.8852917364558079,0.9377160538656356,0.2760989092159561,0.847655614406093,0.9738066460157091,1.0,0.8781495055298287,0.06897712390670702,0.9737651271602598,0.6222610637939253,0.9962620204635498,1.0,0.8685712361316361,0.4499416961339983,0.6539230714535161,0.853841488382678
idf,0.9695464142747134,0.8274033026011917,0.9128319098570924,1.0,0.1103976656467966,0.9994223075058043,0.9539114986268733,0.8555692136901291,0.9361803839833412,0.7957272184919247,0.9690193504991043,0.9848730306179839,0.9724150097797635,0.8658432773836893,0.9641584881091037,0.5474517152140492,0.5923105649857524,1.0,0.46930051877610596,0.7840221370656043,0.9804403588178917,0.8012122531597213,0.9535121255033698,0.4341304376538835,0.7578845669398429,0.8634739443134536,0.5833169697619551,0.9381617341592999,0.5977234734885168,0.8551472535114439,0.4089792539152461,0.724365077398485,0.8296464954000043,1.0,0.6740183224904701,0.942656880440356,0.99884110313844,0.8442985768766732,0.9759430312230536,0.38959352445258916,0.9131643469811612,0.8179086380871388,0.7270357356161826,0.8295509834372057,0.9976679644756942,0.28167495487060307,0.9689967791252375,0.3207132465550068,0.8264447103612996,0.9859488362745962,0.8406930988995026,0.9662498090193022,0.7328689712696931,0.6020601483827289,0.44161957561041376,0.7549866236332816,0.9848384819071513,0.7640452019346698,0.9140274331065257,0.8817319341912917,0.7743214293360322,0.7962052137005736,0.9863545541522254,0.83935840267642,0.7018301432182267,0.729359663163499,0.5633795046727417,0.9822038637609465,0.9024785973919419,0.15555195065920588,0.8426974948487896,0.7816146951890381,0.9163087489248505,0.7659719999057705,0.9692491401493122,0.43055272983049914,0.7980013355047105,0.9006462844952973,0.8635698586840737,0.3918774475328352,0.2577774252088189,0.24139431607210363,0.6456368171208811,0.9691897577580469,0.9994223075058043,0.9172192137629844,0.8495862452085327,0.8570912512878534,0.5877161373311667,0.7194249866228873,0.7218061648051054,0.6963822233039161,0.7666116635729306,0.9075221686017697,0.7985533734733964,0.43555623215564404,0.8231046688807574,0.8641155637794277,0.7034575615798796,0.9351363940254099,0.6032436458652674,0.4584666961879167,0.8005604787506737,0.6676019852884987,0.9330905494476937,0.30813644626932696,0.9096808137350347,0.8421176057984426,0.8420963752087071,0.9421588281011354,0.24651566534283173,0.5817069396202084,0.934145935031538,0.9826954628504376,0.8281895320419999,0.24376342449268015,0.9552438770023867,0.7639115655563335,0.9994223075058043,0.9629069752951286,0.7265672634146966,0.35893600122857894,0.438318285873299,0.5855759530216145
tfidf,0.9985164669725842,0.8742105034344633,0.8303102085867892,0.8680029985972418,0.23860583474604816,0.8675359075054487,0.9805009000387663,0.8457409065548681,0.49939208305162097,0.8298613018964627,0.9810959107902276,0.9962569461477365,0.9761432458828647,0.835361665402513,0.9841986070514436,0.7469497101661368,0.5480014410528317,0.8588560870449843,0.4757417120141707,0.5479934461222983,0.9950432214107572,0.9049049646910635,0.9812205775175666,0.7749455029971152,0.5279468718601766,0.916910451967255,0.8337075933912407,0.9860551819478939,0.8265045340504406,0.8058071298711987,0.34841766105778893,0.8831001789422759,0.7873495467989388,0.8754505102341605,0.8521070062669841,0.9851401786455455,0.8617098950404528,0.8881743032108016,0.9827285943345242,0.2809138361752896,0.9322900909908659,0.9247798699071063,0.85476605001279,0.805281519027961,0.8638949848876022,0.4713283188428667,0.9941291223826149,0.2875775650213401,0.8969148847264644,0.9935314322797004,0.8511409874438707,0.9954604669425121,0.8389674794457386,0.34715004287948226,0.8430837843252798,0.8483216159374627,0.9319974743879956,0.6904085871945053,0.9737510601955606,0.8601673737890656,0.6497627843649291,0.8343326103396728,0.9969780155170196,0.8492024967940871,0.7804876239088401,0.6833880871689622,0.8016993602650464,0.9881852021403841,0.8985212127373919,0.3782033431818587,0.849452355082016,0.694170470455017,0.8267781900455411,0.713796534217359,0.9956273919315174,0.81841160842894,0.8448370115381798,0.8342834595939476,0.8966714197199567,0.7671132320399985,0.44803893963689273,0.24299612848443655,0.7066034988997444,0.9980881177770528,0.8549771854116943,0.8997146175976857,0.8893072904139395,0.9142577108238474,0.8156737965151578,0.32384293296694183,0.8041534099125919,0.6650293194727018,0.8335576789880367,0.9170778780772615,0.7861791887767744,0.6149437468779629,0.8906482419962419,0.8358742653027936,0.7494040849198348,0.9831489307384303,0.8333223623331935,0.8370932514360189,0.7426067325963138,0.6051384627262514,0.9848109458742798,0.2996938015616928,0.9217643300600936,0.7934285106839117,0.8487651053853958,0.9384726242194379,0.5767420399347217,0.8344953955592103,0.9843745167756067,0.9844440889333445,0.9488208864128279,0.2416955355694915,0.9884943831284755,0.6816653858102925,0.8697072622891967,0.9851612268588169,0.8823027354101486,0.625654010838638,0.7458114309113997,0.8258742717578734
