,NLP-ML + MetaSRA + Expression,NLP-ML + Expression,Expression,NLP-ML + MetaSRA,NLP-ML,MetaSRA,TAGGER
NLP-ML + MetaSRA + Expression,"(0.0, 1.0)","(0.0718954248366013, 0.0012503179311846404)","(0.11764705882352941, 9.420739168040633e-06)","(0.3333333333333333, 0.5583009992257634)","(0.16993464052287582, 1.521102384567842e-08)","(0.058823529411764705, 1.2971470037235503e-17)","(0.0392156862745098, 8.028740037885381e-35)"
NLP-ML + Expression,"(0.5686274509803921, 0.0012503179311846404)","(0.0, 1.0)","(0.20261437908496732, 0.11957009707275841)","(0.5424836601307189, 0.027833984170540945)","(0.3660130718954248, 0.004739237674489717)","(0.24836601307189543, 4.090874747415817e-10)","(0.0915032679738562, 1.2623499893370593e-30)"
Expression,"(0.7450980392156863, 9.420739168040633e-06)","(0.6601307189542484, 0.11957009707275841)","(0.0, 1.0)","(0.6013071895424836, 0.0008835818287622622)","(0.45751633986928103, 0.11744123016468157)","(0.30718954248366015, 1.1660516993611112e-07)","(0.12418300653594772, 1.6675807261427677e-27)"
NLP-ML + MetaSRA,"(0.47058823529411764, 0.5583009992257634)","(0.35947712418300654, 0.027833984170540945)","(0.3006535947712418, 0.0008835818287622622)","(0.0, 1.0)","(0.08496732026143791, 2.0613068960333347e-06)","(0.026143790849673203, 7.589715179601038e-15)","(0.05228758169934641, 1.6405929643135836e-33)"
NLP-ML,"(0.7647058823529411, 1.521102384567842e-08)","(0.5751633986928104, 0.004739237674489717)","(0.48366013071895425, 0.11744123016468157)","(0.6339869281045751, 2.0613068960333347e-06)","(0.0, 1.0)","(0.2549019607843137, 2.010409151534177e-05)","(0.13725490196078433, 2.2661667395506897e-27)"
MetaSRA,"(0.8823529411764706, 1.2971470037235503e-17)","(0.7516339869281046, 4.090874747415817e-10)","(0.6928104575163399, 1.1660516993611112e-07)","(0.8888888888888888, 7.589715179601038e-15)","(0.738562091503268, 2.010409151534177e-05)","(0.0, 1.0)","(0.29411764705882354, 1.1228296017517303e-13)"
TAGGER,"(0.9281045751633987, 8.028740037885381e-35)","(0.9084967320261438, 1.2623499893370593e-30)","(0.8758169934640523, 1.6675807261427677e-27)","(0.9150326797385621, 1.6405929643135836e-33)","(0.8627450980392157, 2.2661667395506897e-27)","(0.6862745098039216, 1.1228296017517303e-13)","(0.0, 1.0)"
