,UBERON:0005181,UBERON:0000489,UBERON:0002384,UBERON:0004921,UBERON:0002048,UBERON:0011821,UBERON:0000072,UBERON:0001008,UBERON:0000923,UBERON:0012274,UBERON:0000915,UBERON:0000059,UBERON:0000483,UBERON:0005401,UBERON:0003914,UBERON:0022303,UBERON:0001630,CL:0002620,UBERON:0010499,UBERON:0016880,UBERON:0005906,CL:0000057,UBERON:0014892,CL:0000842,UBERON:0000178,UBERON:0002616,UBERON:0005173,UBERON:0001155,UBERON:0001134,UBERON:0001017,UBERON:0002417,UBERON:0000955,CL:0000576,UBERON:0000065,UBERON:0019264,UBERON:0011216,UBERON:0000171,UBERON:0002385,CL:0000542,UBERON:0005409,UBERON:0002390,UBERON:0034929,UBERON:0002107,UBERON:0005057,UBERON:0002031,UBERON:0006925,UBERON:0001049,UBERON:0011300,UBERON:0004111,UBERON:0002199,UBERON:0013702,UBERON:0011215,UBERON:0000490,UBERON:0004802,UBERON:0001869,CL:0000066,UBERON:0003103,UBERON:0016548,UBERON:0009778,UBERON:0011823,CL:0000766,UBERON:0002368,UBERON:0007592,UBERON:0010392,UBERON:0001005,UBERON:0005177,UBERON:0005291,UBERON:0000916,UBERON:0001558,UBERON:0016879,UBERON:0002036,UBERON:0001443,UBERON:0001016,UBERON:0006598,UBERON:0005156,UBERON:0004815,UBERON:0001007,UBERON:0000203,UBERON:0013701,UBERON:0001893,UBERON:0002530,UBERON:0002405,UBERON:0000383,UBERON:0002113,CL:0000084,CL:0002087,UBERON:0000956,UBERON:0001004,UBERON:0002193,UBERON:0010316,UBERON:0001015,UBERON:0000062,UBERON:0000310,UBERON:0000949,UBERON:0001013,UBERON:0013522,UBERON:0010394,UBERON:0004907,UBERON:0000064,UBERON:0000481,UBERON:0001434,UBERON:0003528,UBERON:0000025,UBERON:0000475,UBERON:0011676,UBERON:0000922,UBERON:0000160,UBERON:0009569,CL:0000738,UBERON:0000179,UBERON:0004807,UBERON:0011143,UBERON:0002416,UBERON:0013765,UBERON:0002346,UBERON:0000485,UBERON:0002365,UBERON:0000029,UBERON:0016526,UBERON:0002020,UBERON:0010001,UBERON:0018254,UBERON:0010498
prior,0.07161301428817353,0.023670166982268894,0.03201928042692374,0.07178516095713548,0.059476674126355655,0.020743673609915646,0.07273196763642624,0.023670166982268894,0.06808400757445343,0.01325529351007058,0.2302461697366156,0.04355310724737476,0.1170597348941298,0.021332369158456117,0.06808400757445343,0.02031330693751076,0.02564985367533138,0.005683775404753703,0.01325529351007058,0.06808400757445343,0.05672232742296437,0.009295920123945601,0.02564985367533138,0.14959545532793941,0.10845240144603202,0.021332369158456117,0.0933895679118609,0.04355310724737476,0.02564985367533138,0.06808400757445343,0.24642795661903943,0.06808400757445343,0.015471311475409836,0.07273196763642624,0.021332369158456117,0.39094508521260113,0.059476674126355655,0.02564985367533138,0.09227061456360819,0.049233947323119295,0.13590979514546395,0.2515923566878981,0.07023584093647788,0.034945773799276984,0.011383235598482234,0.07023584093647788,0.06808400757445343,0.021332369158456117,0.23541056980547426,0.008090893441211913,0.27302461697366154,0.02031330693751076,0.013771733516956448,0.01325529351007058,0.021332369158456117,0.04088483387846445,0.10604234808056465,0.02031330693751076,0.05672232742296437,0.020743673609915646,0.019123997532387416,0.0724737476329833,0.01325529351007058,0.008521260113616801,0.07273196763642624,0.17541745567223274,0.06808400757445343,0.2410914098812188,0.07083835427784473,0.06808400757445343,0.02564985367533138,0.06971940092959202,0.06808400757445343,0.06808400757445343,0.07109657428128766,0.011383235598482234,0.14288173523842312,0.021332369158456117,0.27302461697366154,0.021332369158456117,0.10259941470132553,0.31700809089344123,0.02564985367533138,0.021604406954725427,0.027079134168784505,0.2418660698915476,0.021332369158456117,0.07436736099156481,0.17214666896195557,0.06808400757445343,0.02564985367533138,0.48975727319676365,0.06971940092959202,0.0724737476329833,0.020743673609915646,0.1569977620933035,0.008521260113616801,0.04355310724737476,0.1832501291100017,0.022723360302978137,0.27663969702186264,0.021332369158456117,0.23084868307798245,0.27457393699431915,0.27302461697366154,0.0740230676536409,0.044758133930108454,0.24918230332243071,0.2533138233775176,0.10845240144603202,0.013771733516956448,0.021604406954725427,0.00860733344809778,0.12162162162162163,0.06808400757445343,0.01325529351007058,0.0791013943880186,0.025563780340850405,0.01627045105305975,0.02031330693751076,0.008521260113616801,0.02564985367533138,0.01325529351007058
pos,832.0,275.0,372.0,834.0,691.0,241.0,845.0,275.0,791.0,154.0,2675.0,506.0,1360.0,236.0,791.0,236.0,298.0,66.0,154.0,791.0,659.0,108.0,298.0,1738.0,1260.0,236.0,1085.0,506.0,298.0,791.0,2863.0,791.0,151.0,845.0,236.0,4542.0,691.0,298.0,1072.0,572.0,1579.0,2923.0,816.0,406.0,132.0,816.0,791.0,236.0,2735.0,94.0,3172.0,236.0,160.0,154.0,236.0,475.0,1232.0,236.0,659.0,241.0,217.0,842.0,154.0,99.0,845.0,2038.0,791.0,2801.0,823.0,791.0,298.0,810.0,791.0,791.0,826.0,132.0,1660.0,236.0,3172.0,236.0,1192.0,3683.0,298.0,251.0,309.0,2810.0,236.0,864.0,2000.0,791.0,298.0,5690.0,810.0,842.0,241.0,1824.0,99.0,506.0,2129.0,264.0,3214.0,236.0,2682.0,3190.0,3172.0,860.0,520.0,2895.0,2943.0,1260.0,160.0,251.0,100.0,1413.0,791.0,154.0,919.0,297.0,180.0,236.0,99.0,298.0,154.0
l1,0.806340770894808,0.9442142531387856,0.9732425632518668,0.9229813627451855,0.8057937144108197,0.9796643259672538,0.8157979946951798,0.9429398934643561,0.989604956167328,0.44131109293358345,0.9431497125210621,0.9912914656994558,0.882295572329055,0.9999999999999999,0.9905794366001738,0.8370580301638428,1.0,0.9049791180450285,0.45256681523351655,0.9902193871671511,0.8850922994229679,0.9759002560965294,1.0,0.7483305521341809,0.9327394938420346,0.9999999999999999,0.9661149210508696,0.9913490910557909,1.0,0.9907682675222101,0.9523776441938638,0.9908054975205154,0.7117645578212747,0.8126068875721693,0.9999999999999999,0.9276172660838187,0.811529360777118,1.0,0.8293554533381471,0.8597028189923134,0.7708878165001257,0.9432873795902754,0.9872355693380541,0.7272837370669253,0.5168731169377804,0.9876573037485598,0.9905844936442968,0.9999999999999999,0.9228656872001446,0.7997864251463906,0.9668878741380044,0.8313867884722508,0.7333983992853167,0.45027693246886097,0.9999999999999999,0.7158250568953158,0.8892383256745685,0.8408963031379365,0.8824396808551341,0.9793432979545331,0.5952201292526835,0.9516131830559366,0.4446674639254116,0.41860968725897535,0.8121590644284792,0.9428638501236586,0.9895793491364806,0.9446632108536438,0.753776390937848,0.9909701738000587,1.0,0.9433333170777557,0.9916887211263475,0.990644620558339,0.9492140641252913,0.502972876406249,0.920531346948264,0.9999999999999999,0.9677492985887929,0.9999999999999999,0.9275303258497111,0.8701736595760748,1.0,0.9650718792976685,0.710305700999691,0.8794438807387553,0.9999999999999999,0.8625405370838258,0.7023221405067593,0.9909999083748114,1.0,0.9709358167039811,0.9413369059670224,0.953237936343282,0.9779629880753588,0.9268985779997306,0.41388838067232275,0.9912511761139671,0.8906208366399525,0.7795445279402653,0.8943467162951513,0.9999999999999999,0.9301064143485746,0.9553788405824944,0.9675455153912522,0.8931557351153506,0.9720058013307952,0.945360541665384,0.8128386091844607,0.9282409538483165,0.7157493369740836,0.9643858888879402,0.637607444983033,0.9380177609406851,0.9901491994255056,0.4636156365105295,0.9090610424307544,0.8952462607955081,0.9467820731531119,0.8378613510498477,0.41333064973620964,1.0,0.47331354534129044
l2,0.8051477035785415,0.9538979673903362,0.9697947007863738,0.9167033308598356,0.7831444476551656,0.9659087819259883,0.7859867007078405,0.9538618798721643,0.9881354717875562,0.2676709725365324,0.9416351663929442,0.9904130645590019,0.8795930437752718,0.9999999999999999,0.988140899242758,0.8909160500445491,1.0,0.8824815534840664,0.267627232806173,0.988140899242758,0.8375833958135547,0.9694864191885925,1.0,0.7489138726714417,0.9223154456572766,0.9999999999999999,0.9578489983885992,0.9904130645590019,1.0,0.988140899242758,0.9501066770965738,0.988140899242758,0.7001379385435363,0.786009381525214,0.9999999999999999,0.9312821170751509,0.7831444476551656,1.0,0.8164016622353548,0.8612998241562582,0.7658815391581335,0.9363684669486675,0.9818931515814171,0.7406072748378305,0.26403846538367876,0.9818892571781855,0.988140899242758,0.9999999999999999,0.9208147770791607,0.8616798468521045,0.9640230618085308,0.8905460630927577,0.5176087716085785,0.267627232806173,0.9999999999999999,0.7040114081758785,0.8741942916768709,0.8905460630927577,0.8375833958135547,0.9658172815023766,0.6179873300742159,0.9498934230190647,0.2676709725365324,0.33594624203008056,0.786009381525214,0.9389792944524228,0.988140899242758,0.9407131786912958,0.7096819793749581,0.9881354717875562,1.0,0.9342663977163057,0.9881354717875562,0.9881354717875562,0.9301764956206086,0.26411220243163275,0.90961167521445,0.9999999999999999,0.9640103464348625,0.9999999999999999,0.9225813651381042,0.8621178034850553,1.0,0.9689318574661544,0.7602611018408097,0.8739192966231725,0.9999999999999999,0.8204488444135096,0.7018268174995583,0.988140899242758,1.0,0.9719611724588515,0.9342516672407442,0.9499305898076026,0.9659087819259883,0.9157770662651825,0.33594624203008056,0.9904128258374998,0.877989786432154,0.7874514705127691,0.8960642800614723,0.9999999999999999,0.9215667418970006,0.9502878260281422,0.9640103464348625,0.8857182434355001,0.9682072821054067,0.9450984814365994,0.7991197193405202,0.9222454875559031,0.5176087716085785,0.9689318574661544,0.6120416261650901,0.9361313523283963,0.9881354717875562,0.2676709725365324,0.9180899125507399,0.8792880567650623,0.951256826700603,0.8905460630927577,0.33594624203008056,1.0,0.267627232806173
svm,0.8517301390119543,0.9070627473645692,0.944795388325692,0.911240694347296,0.7973912003402629,0.9614004073230729,0.7550082085952358,0.9070627473645692,0.9872685456896426,0.43455963122110397,0.9413325242462761,0.9928063100173157,0.930279759308627,0.9999999999999999,0.9872664347516782,0.8642943421533289,1.0,0.9591957361009569,0.43455963122110397,0.9872707232315957,0.8495564783865097,0.9753859176745133,1.0,0.7701453119285665,0.9400414770394919,0.9999999999999999,0.966788395279914,0.9928063100173157,1.0,0.9872685456896426,0.9468999094452982,0.9872685456896426,0.636155470260101,0.7550082085952358,0.9999999999999999,0.9146564739048514,0.7973912003402629,1.0,0.7826551517888447,0.8591657019946656,0.8064682146316305,0.9334430632438946,0.9842494211424492,0.680525668833783,0.21274224016816964,0.9842494212119043,0.9872685456896426,0.9999999999999999,0.9315627777905068,0.7752358368718232,0.9733400904741399,0.8642943421533289,0.6553040217078633,0.43455963122110397,0.9999999999999999,0.7208395296850064,0.8681161692035446,0.864294235801384,0.8495564783865097,0.9614004073230729,0.553904381667762,0.9487342001834254,0.43455963122110397,0.3252216879514979,0.7550082085952359,0.9320243341389493,0.9872685456896426,0.9439613244400628,0.6794614425228046,0.9872685456896426,1.0,0.9138027184714067,0.9872685456896426,0.9872664347516782,0.9146627258974993,0.21274224016816964,0.8959164750274516,0.9999999999999999,0.9733412709975239,0.9999999999999999,0.9190641825737776,0.9042436650505365,1.0,0.9485190790004386,0.7191254548601518,0.8805832453681308,0.9999999999999999,0.7516342225637059,0.7202678363705329,0.9872685456896426,1.0,0.9703256404714292,0.9138027184714067,0.9487342001834254,0.9614004073230729,0.9141846090351559,0.32508380794073655,0.9928063100173157,0.8772433291722601,0.7668571997257206,0.8774821804159818,0.9999999999999999,0.9271096081835615,0.9513692319660557,0.9733398727303614,0.8974871846545583,0.9704294832302954,0.9494671702613539,0.8330472072710133,0.9400410828784236,0.6553040217078633,0.9485972484013899,0.6180247477557069,0.9427620601796209,0.9872685456896426,0.43455963122110397,0.9454128155081474,0.9002616152059103,0.8998728533242829,0.8642943421533289,0.3252216879514979,1.0,0.4343013432435177
rf,0.8087523376667561,0.9135059080557019,0.9005475114114937,0.9036209556248999,0.8364225101185424,0.9395246947252908,0.7692130333897662,0.9079156531195945,0.9879171892560349,0.19644374608158566,0.9118235158415429,0.9857017241362426,0.9012697078548776,0.999932451853981,0.9832520532440211,0.8777787236685722,1.0,0.8572758246759583,0.19230544495606106,0.9836119827509858,0.8732142078573264,0.8139156940183797,1.0,0.750126544024003,0.9316810527866787,0.999932451853981,0.9694741972911972,0.9867120902153795,1.0,0.9868937006856916,0.9278269097709243,0.9871319246107643,0.48115130621061925,0.7722485530264543,0.9997720935220936,0.9202400152927422,0.8662088526062446,1.0,0.7226641203586683,0.8885975161974139,0.8048384837167077,0.9242068716420806,0.9820329690707652,0.6714832648940644,0.16438495389036614,0.9816503860944019,0.9871892574020434,0.9997128237259817,0.9235976716434044,0.6088382990143709,0.9539048295126872,0.8561150857039718,0.25202106988813405,0.23658454125739084,0.999932451853981,0.6148226921200918,0.8380863615305625,0.8879642195534364,0.903374563021223,0.9355540747016328,0.33772887236144516,0.9481178366875357,0.20434970486368512,0.2376508192257505,0.7771858701826581,0.907375199345343,0.9879388802783727,0.9285847001473578,0.6938523695355091,0.984607806617864,1.0,0.8935316502923408,0.9843484397860024,0.9875209545924889,0.8062467100309562,0.18265333722804264,0.9103892184855348,0.999932451853981,0.9575607886528155,0.999932451853981,0.8853479126705531,0.8711882227230513,1.0,0.9292088845122711,0.6365445234267569,0.7934717160070447,0.9998639316922932,0.7180000159869083,0.7377985880663114,0.9880946037704299,1.0,0.9662822540042276,0.8940701154308345,0.9501767008129843,0.9420768662427449,0.9227053503753364,0.2283846435012442,0.9862213728687644,0.8662405960370902,0.859317254041556,0.8963544151353893,1.0,0.9387607264657937,0.9339545441489004,0.9558473846093678,0.901879492900246,0.9729433167632049,0.9209197466218666,0.7657580414570448,0.9262375387463909,0.2431619763090126,0.9276725129097348,0.4312505308430579,0.9427269991367323,0.9874517486492298,0.21805556370774584,0.9276593298332932,0.8367291915651988,0.903413900345338,0.8628383233297138,0.23182849163763117,1.0,0.21668841694779373
xgb,0.7349117373124788,0.8354133556492691,0.8776713962624392,0.8568395809797617,0.7654014485699738,0.9006493238864524,0.7250305311298425,0.8348562357357991,0.9701224776175009,0.28909536146013765,0.923963851620134,0.8951091694269859,0.88869711353645,0.9063304776232955,0.9698252028552911,0.8294351936384897,1.0,0.5397972417197984,0.326307126706708,0.9695316838210197,0.8195557152793677,0.6431066184703281,1.0,0.7337871122084062,0.9005632951000155,0.905257776867452,0.9469092510246285,0.9073424541340506,1.0,0.9700102821377605,0.9233297267899726,0.9702279287758868,0.42578761242442914,0.7107073682150734,0.9061397040033748,0.9203941728882089,0.765397644826263,1.0,0.8025387921836536,0.6791432169078341,0.7904444430324086,0.9206629928421982,0.9881819814773322,0.6873327562012307,0.19116389947299237,0.9882528256481637,0.9700036575945967,0.9061434763073185,0.9213419436734999,0.502339537765824,0.9500389836806024,0.8217046609883795,0.35621540084000475,0.29754674534281006,0.9055747217622322,0.5429605654054391,0.8195012157284447,0.8331411180461118,0.8220984573761783,0.8998485684117812,0.2538483339251986,0.974129764141734,0.32060454826240264,0.07802385146471309,0.7280253204209979,0.8908996000837339,0.9700748130754825,0.9355484592493649,0.6798141936235647,0.9698701988871331,1.0,0.9137703296978715,0.9697737552795397,0.9699487704988655,0.8766283395183926,0.183970703493616,0.8134825869218876,0.9054994673300447,0.954009232096241,0.9062138087545378,0.8802109764581706,0.842262539467972,0.999980046194216,0.9124606081446984,0.35105873301371165,0.8375266064365596,0.9056286956886227,0.6873144344441061,0.7232577661271865,0.9699468641102955,0.999980046194216,0.9681623370157194,0.911887561271513,0.9724322833672491,0.9034217257042818,0.9130958006152848,0.08131921798927036,0.9192101578202964,0.842140399821857,0.7923171258222813,0.8727361339873981,0.9058798443028011,0.9226678408641668,0.9396494883935685,0.9543074078992194,0.8879723449298002,0.9031068056146309,0.9340904207672961,0.7627946628504233,0.9091039097128483,0.348790671785656,0.9180520807438648,0.16025088890469533,0.9149735517437766,0.9694636951441874,0.34638923615108963,0.8528744689106009,0.8094320279980679,0.9082133957433592,0.8298698505410874,0.07426246277803643,1.0,0.3344248156489886
