,log2(auprc/prior)
skin of body (6),2.1854260949825
brain (29),0.6709207782844566
liver (2),0.6719762540173981
lung (1),1.0264722113611913
blood (3),1.947037743866786
testis (5),1.0676740143257506
skeletal muscle tissue (8),1.6621967367767454
ovary (2),0.9191689253869554
