,UBERON:0002346,UBERON:0000485,UBERON:0002365,UBERON:0000029,UBERON:0000160,UBERON:0009569,CL:0000738,UBERON:0000179,UBERON:0019264,UBERON:0011216,UBERON:0000171,UBERON:0005181,UBERON:0000489,UBERON:0002384,UBERON:0004921,UBERON:0002048,UBERON:0000923,UBERON:0012274,UBERON:0001005,UBERON:0005177,UBERON:0016526,UBERON:0002020,CL:0000542,UBERON:0005409,UBERON:0002390,UBERON:0034929,UBERON:0002107,CL:0000766,UBERON:0002368,UBERON:0007592,UBERON:0006598,UBERON:0005156,CL:0000084,CL:0002087,UBERON:0000956,UBERON:0001004,UBERON:0005906,CL:0000057,UBERON:0014892,UBERON:0001017,UBERON:0002417,UBERON:0000955,UBERON:0001049,UBERON:0011300,CL:0000842,UBERON:0000178,UBERON:0005291,UBERON:0000916,UBERON:0010001,UBERON:0018254,UBERON:0002616,UBERON:0005173,UBERON:0001155,UBERON:0001134,UBERON:0000490,UBERON:0004802,UBERON:0011821,UBERON:0000072,UBERON:0001008,UBERON:0003914,UBERON:0022303,UBERON:0001630,UBERON:0001013,UBERON:0013522,UBERON:0010394,CL:0002620,UBERON:0010499,UBERON:0016880,UBERON:0000475,UBERON:0011676,UBERON:0000922,UBERON:0005057,UBERON:0006925,UBERON:0002193,UBERON:0010316,UBERON:0007196,UBERON:0002405,UBERON:0010498,UBERON:0001015,UBERON:0000062,UBERON:0000310,UBERON:0000949,UBERON:0001434,UBERON:0003528,UBERON:0010392,UBERON:0004807,UBERON:0011143,UBERON:0004907,UBERON:0000064,UBERON:0002185,UBERON:0000915,UBERON:0000059,UBERON:0000483,UBERON:0005401,UBERON:0004111,UBERON:0002199,UBERON:0013702,UBERON:0011215,UBERON:0016548,UBERON:0009778,UBERON:0011823,CL:0000576,UBERON:0000117,UBERON:0000065,UBERON:0000203,UBERON:0013701,UBERON:0001893,UBERON:0002530,UBERON:0001869,CL:0000066,UBERON:0003103,UBERON:0000383,UBERON:0002113,UBERON:0000481,UBERON:0001007,UBERON:0000025,UBERON:0002416,UBERON:0013765,UBERON:0001558,UBERON:0016879,UBERON:0002036,UBERON:0001443,UBERON:0001016,UBERON:0002385,UBERON:0000075,UBERON:0000073,UBERON:0034922,UBERON:0002465,UBERON:0001555,UBERON:0000990,CL:0002328,UBERON:0002330,UBERON:0000479,UBERON:0005178,UBERON:0001890,UBERON:0002100,UBERON:0007601,UBERON:0005172,UBERON:0002204,UBERON:0010371,UBERON:0000170,UBERON:0005911,UBERON:0002097,UBERON:0002423,UBERON:0011822,CL:0000235
prior,0.06808400757445343,0.01325529351007058,0.0791013943880186,0.025563780340850405,0.044758133930108454,0.24918230332243071,0.2533138233775176,0.10845240144603202,0.021332369158456117,0.39094508521260113,0.059476674126355655,0.07161301428817353,0.023670166982268894,0.03201928042692374,0.07178516095713548,0.059476674126355655,0.06808400757445343,0.01325529351007058,0.07273196763642624,0.17541745567223274,0.01627045105305975,0.02031330693751076,0.09227061456360819,0.049233947323119295,0.13590979514546395,0.2515923566878981,0.07023584093647788,0.019123997532387416,0.0724737476329833,0.01325529351007058,0.06808400757445343,0.07109657428128766,0.027079134168784505,0.2418660698915476,0.021332369158456117,0.07436736099156481,0.05672232742296437,0.009295920123945601,0.02564985367533138,0.06808400757445343,0.24642795661903943,0.06808400757445343,0.06808400757445343,0.021332369158456117,0.14959545532793941,0.10845240144603202,0.06808400757445343,0.2410914098812188,0.008521260113616801,0.02564985367533138,0.021332369158456117,0.0933895679118609,0.04355310724737476,0.02564985367533138,0.013771733516956448,0.01325529351007058,0.020743673609915646,0.07273196763642624,0.023670166982268894,0.06808400757445343,0.02031330693751076,0.02564985367533138,0.020743673609915646,0.1569977620933035,0.008521260113616801,0.005683775404753703,0.01325529351007058,0.06808400757445343,0.27457393699431915,0.27302461697366154,0.0740230676536409,0.034945773799276984,0.07023584093647788,0.17214666896195557,0.06808400757445343,0.011361680151489069,0.31700809089344123,0.01325529351007058,0.02564985367533138,0.48975727319676365,0.06971940092959202,0.0724737476329833,0.27663969702186264,0.021332369158456117,0.008521260113616801,0.013771733516956448,0.021604406954725427,0.04355310724737476,0.1832501291100017,0.011361680151489069,0.2302461697366156,0.04355310724737476,0.1170597348941298,0.021332369158456117,0.23541056980547426,0.008090893441211913,0.27302461697366154,0.02031330693751076,0.02031330693751076,0.05672232742296437,0.020743673609915646,0.015471311475409836,0.011361680151489069,0.07273196763642624,0.021332369158456117,0.27302461697366154,0.021332369158456117,0.10259941470132553,0.021332369158456117,0.04088483387846445,0.10604234808056465,0.02564985367533138,0.021604406954725427,0.022723360302978137,0.14288173523842312,0.23084868307798245,0.00860733344809778,0.12162162162162163,0.07083835427784473,0.06808400757445343,0.02564985367533138,0.06971940092959202,0.06808400757445343,0.02564985367533138,0.2500430366672405,0.02031330693751076,0.008521260113616801,0.03623687381649165,0.07178516095713548,0.07109657428128766,0.011408815903197925,0.0791013943880186,0.20244448269925977,0.07161301428817353,0.021332369158456117,0.25047340333964535,0.01325529351007058,0.0933895679118609,0.302289550697194,0.06808400757445343,0.059476674126355655,0.013771733516956448,0.005680840075744534,0.07023584093647788,0.020743673609915646,0.005375870274081255
pos,791.0,154.0,919.0,297.0,520.0,2895.0,2943.0,1260.0,236.0,4542.0,691.0,832.0,275.0,372.0,834.0,691.0,791.0,154.0,845.0,2038.0,180.0,236.0,1072.0,572.0,1579.0,2923.0,816.0,217.0,842.0,154.0,791.0,826.0,309.0,2810.0,236.0,864.0,659.0,108.0,298.0,791.0,2863.0,791.0,791.0,236.0,1738.0,1260.0,791.0,2801.0,99.0,298.0,236.0,1085.0,506.0,298.0,160.0,154.0,241.0,845.0,275.0,791.0,236.0,298.0,241.0,1824.0,99.0,66.0,154.0,791.0,3190.0,3172.0,860.0,406.0,816.0,2000.0,791.0,132.0,3683.0,154.0,298.0,5690.0,810.0,842.0,3214.0,236.0,99.0,160.0,251.0,506.0,2129.0,132.0,2675.0,506.0,1360.0,236.0,2735.0,94.0,3172.0,236.0,236.0,659.0,241.0,151.0,132.0,845.0,236.0,3172.0,236.0,1192.0,236.0,475.0,1232.0,298.0,251.0,264.0,1660.0,2682.0,100.0,1413.0,823.0,791.0,298.0,810.0,791.0,298.0,2905.0,236.0,99.0,421.0,834.0,826.0,132.0,919.0,2352.0,832.0,236.0,2910.0,154.0,1085.0,3512.0,791.0,691.0,160.0,66.0,816.0,241.0,61.0
l1,0.9655444365434754,0.5901344371575229,0.8616419035892356,0.41378993282857596,0.9183717913804267,0.885442333174709,0.7733147239383409,0.8234421937890587,0.9692225397590016,0.8409241828515995,0.6960745887347821,0.8030040758818827,0.46077970732846163,0.8197049120447164,0.86300784646732,0.7100648217091866,0.9419705206399902,0.5795510355147563,0.7345994155921366,0.8210708298323025,0.9841917332975908,0.7745077856945137,0.7117357222203538,0.7239752543634692,0.6950104277030107,0.7610142293002591,0.9049294757070404,0.7390810831535314,0.8647362696171582,0.5778194473449092,0.9562814980427975,0.43635504940092007,0.44055997470384783,0.7789824901959803,0.9901860836121332,0.802569122905847,0.5579959693088524,0.5626353514416266,0.9976679640742901,0.9350992190624678,0.8690363232802704,0.955124917417244,0.9467059556152009,0.9780818326655097,0.9358995234589037,0.8209988655232973,0.9302649938046192,0.8599722376169364,0.24136415592991456,0.9976679640742901,0.979147359402722,0.8250337512840457,0.9210052097132051,1.0,0.39897706298955476,0.5947610756026559,0.9476087603137048,0.7290158292654915,0.3454607071950919,0.9744331494990234,0.7728198680308784,1.0,0.9855595978131505,0.8301053316248076,0.11028994255500403,0.24212525655661418,0.5874507458981848,0.9460819379647601,0.847514889668283,0.8405638181056827,0.9366324701392886,0.3079815462775142,0.909657247599242,0.6610535792736689,0.9653642552843346,0.4997450016658875,0.793185418830626,0.5801176142994732,0.9976679640742901,0.9155550550673938,0.8493352391511114,0.8592701253224438,0.6495826172658665,0.9754448656154295,0.10179550545199001,0.40847307662178994,0.2630367876861658,0.9236877290026845,0.8681263384933806,0.4959878447418025,0.7966004476220361,0.9174100715474651,0.7666368298121636,0.9885738922100152,0.9006433242385453,0.1473783598583395,0.8394712518143296,0.7794429395233228,0.7692876717895762,0.5378805283132885,0.9596006677884182,0.5803738764922487,0.43681547131045667,0.7203220453235346,0.9714273228315026,0.8410730347952319,0.9658684827832285,0.7420485080465354,0.9718551667512726,0.3228977111631484,0.8150949201503735,1.0,0.26111562255369486,0.8160750244645237,0.7344633962387977,0.8205527839750149,0.389028520206014,0.9043485088882511,0.669279321175034,0.9326240707778054,0.99884110313844,0.8525913074292953,0.9492885926289504,1.0,0.8016723493738618,0.7892298649624285,0.11048090405080359,0.384542641615528,0.7845917166197814,0.4362126486713073,0.7432458915423541,0.8694328533055601,0.7806793791193587,0.7967270678020415,0.9757882114058573,0.7896836489747133,0.605670360539004,0.8274320277789391,0.7522095868645332,0.9707085462283257,0.7178689484544588,0.40622946081055145,0.13087939183873196,0.9066116797137731,0.9674422482042814,0.5697376879749362
l2,0.9814234020457834,0.7230465048391282,0.8074765792972185,0.5142469917618345,0.9651404826772749,0.9049183008774935,0.799470118307311,0.8216726394820792,0.9192490687446201,0.8916398529674104,0.7036894371959646,0.7607554257361673,0.311918456768882,0.9267672128265553,0.7148691797346188,0.7036894371959646,0.9814234020457834,0.7230465048391282,0.7852456620244747,0.8996938068965763,0.9993950932932654,0.8082323646174158,0.7373286696732159,0.7809573607484709,0.7142563524747779,0.8035623064189062,0.9186426787671449,0.8263622409412822,0.8276204667001004,0.7230465048391282,0.9814234020457834,0.6631291347352145,0.5356493815104799,0.7894440928738266,0.9192490687446201,0.7887920187223566,0.5660731357659224,0.8142866427702046,1.0,0.9814234020457834,0.8615286397749039,0.9814234020457834,0.9814234020457834,0.9192490687446201,0.9747969731955878,0.8216726394820792,0.9814234020457834,0.8725149665968283,0.27816487252470834,1.0,0.9192490687446201,0.8705182788274445,0.9888758877882903,1.0,0.87479793088353,0.7230465048391282,1.0,0.7852456620244747,0.311918456768882,0.9814234020457834,0.8082323646174158,1.0,1.0,0.8808416590052058,0.27816487252470834,0.31598275970620593,0.7230465048391282,0.9814234020457834,0.825389305883348,0.8351184410429888,0.9432948863297094,0.4377311516458191,0.9186426787671449,0.6958079275837864,0.9814234020457834,0.6882556244176797,0.7888207904969695,0.7230465048391282,1.0,0.9504647500269584,0.8788118474864505,0.8276204667001004,0.7180192965365313,0.9192490687446201,0.27816487252470834,0.87479793088353,0.19924424845964273,0.9888758877882903,0.8927850298591401,0.6882556244176797,0.8282469729800881,0.9888758877882903,0.7552672132806005,0.9192490687446201,0.9024343142513688,0.32097719486359716,0.8351184410429888,0.8082323646174158,0.8082323646174158,0.5660731357659224,1.0,0.5557720691256598,0.6882556244176797,0.7852456620244747,0.9192490687446201,0.8351184410429888,0.9192490687446201,0.7642654651580726,0.9192490687446201,0.34160737258057,0.7800823415863283,1.0,0.19924424845964273,0.8039456642622106,0.7736559555355403,0.8314449729813619,0.5171162325121502,0.9304794903923037,0.7131096883983381,0.9814234020457834,1.0,0.8788118474864505,0.9814234020457834,1.0,0.790774869126826,0.8082323646174158,0.27816487252470834,0.5184005379678084,0.7148691797346188,0.6631291347352145,0.839122348874897,0.8074765792972185,0.8066862884647987,0.7607554257361673,0.9192490687446201,0.8367867914084322,0.7230465048391282,0.8705182788274445,0.810096769972381,0.9814234020457834,0.7036894371959646,0.87479793088353,0.36419320828536356,0.9186426787671449,1.0,0.6715067530682318
svm,0.9814357249528546,0.7408569140538367,0.6262270670594504,0.4874920309084934,0.9205421481915216,0.8232029932196842,0.7962310267733196,0.7826415232930417,0.9957148903335936,0.8468916542942674,0.433475416627599,0.6667917957496591,0.1602000590152909,0.7578297775984456,0.7109698257853146,0.433475416627599,0.9814357249528546,0.7408569140538367,0.615039266500783,0.7692632513592818,0.9976605533234313,0.7030972462006057,0.6453174789125978,0.7857871803182045,0.7070665093095617,0.7223966130787391,0.7524691857421635,0.8314186443799053,0.7411802968969937,0.7408569140538367,0.9814357249528546,0.651912793474304,0.37742011690037836,0.7545590924493873,0.9957148903335936,0.6749002109394509,0.38648267011317006,0.6211950448424973,1.0,0.9814357249528546,0.7515306560028279,0.9814357249528546,0.9814357249528546,0.9957148903335936,0.965149933521629,0.7826415232930417,0.9814357249528546,0.7485934926412967,0.5649348456447529,1.0,0.9957148903335936,0.7848167309501323,0.9595822815492329,1.0,0.9145868619052546,0.7408569140538367,1.0,0.615039266500783,0.1602000590152909,0.9814357249528546,0.7030972462006057,1.0,1.0,0.8526803065000957,0.5649348456447529,0.18000489361563574,0.7408569140538367,0.9814357249528546,0.7672788347922611,0.7959103895241523,0.9313468421502523,0.381164726544933,0.7524691857421635,0.6865745290172676,0.9814357249528546,0.711578270731489,0.8037166095677067,0.7408569140538367,1.0,0.9209355812288131,0.8439290565506017,0.7411802968969937,0.6201976192628527,0.9957148903335936,0.5649348456447529,0.9145868619052546,0.4750932865412647,0.9595822815492329,0.8384732778404883,0.711578270731489,0.7377639375543473,0.9595822815492329,0.756339070555894,0.9957148903335936,0.866857188433347,0.1488728676266118,0.7958527319409537,0.7030972462006057,0.7030972462006057,0.38648267011317006,1.0,0.5363987186203163,0.711578270731489,0.6149373665044948,0.9957148903335936,0.7958815058611464,0.9957148903335936,0.6679018626182641,0.9957148903335936,0.1297836740890903,0.6522153615790182,1.0,0.4750932865412647,0.7048960656636578,0.7146316210979548,0.7735486388123866,0.4884206001100191,0.9051429119194078,0.5860749894328222,0.9814357249528546,1.0,0.8439526362327362,0.9814357249528546,1.0,0.7361323901722274,0.7030972462006057,0.5649348456447529,0.48619784493147994,0.7109698257853146,0.651912793474304,0.9339003574230079,0.6262242547536532,0.7714038250423952,0.6667917957496591,0.9957148903335936,0.7602243751406453,0.7408569140538367,0.7848167309501323,0.7526389143778317,0.9814357249528546,0.433475416627599,0.9145868619052546,0.11576376947521745,0.7524691857421635,1.0,0.7468672388796828
rf,0.5751852866804664,0.16432307906108223,0.18111146539671644,0.11904042380680052,0.5463838948635407,0.5684393436539364,0.6472949827336506,0.5876583844481885,0.2897180971374791,0.6911524702057775,0.17028871514606236,0.17592727663241672,0.014883020280023284,0.3110982797116674,0.3986881080504263,0.10394460249945298,0.620829613728363,0.24234994304553145,0.08798675097412456,0.29492389475172026,0.26155053577623083,0.2498238691706671,0.33756587087237655,0.550642504122167,0.4909875654820888,0.542917957819624,0.17293133235192074,0.14364064150036535,0.22239677885209597,0.21988235730553796,0.6060973343345305,0.2001507205604789,0.062269042663107406,0.5330867448320917,0.3976822243025828,0.11252002409132685,0.08380373138789461,0.18011376967792833,0.8436957258450525,0.5252937290744718,0.5161741795775965,0.5843535857011367,0.5838401246736771,0.38631222275216365,0.44017686564507197,0.5566240729369896,0.6548705037258215,0.5207092400393845,0.07761584276826711,0.8471794832499294,0.36568416392767006,0.21067871121756843,0.6391640017824449,0.7685706467125039,0.27622040064519965,0.2141798158964022,0.42588645211684684,0.10172997354619029,0.015570758164883944,0.4694411665945575,0.2292990015441713,0.8326497080216205,0.46689618390683857,0.4605721777791428,0.03359165749310884,0.10413532594143537,0.46810654042377037,0.6291397415081845,0.5918102943635467,0.6217087716574605,0.42108305651273586,0.07426004530662783,0.19125942397381637,0.3818136228634775,0.6628791426325796,0.23191883805235924,0.6775393748005004,0.195594576384743,0.8311808116823588,0.8278637539862063,0.1794021466991442,0.2015437996514083,0.46666504438602496,0.5084865501550762,0.07808196366023748,0.3416541548025156,0.015190121695302433,0.551461734690805,0.5470096381653017,0.09000792847942791,0.4626788693945958,0.6028234294478073,0.29617682025119013,0.3597158228347504,0.6139887663841314,0.1763276786982185,0.5836073157015095,0.2627798445916653,0.26534049485512906,0.08391434493276462,0.3677359620565313,0.03911081826534565,0.13722098719966072,0.10408237231719868,0.24232753701830742,0.6046555663159738,0.15479540956909105,0.16157540658476374,0.1567967550017075,0.12134102970023296,0.3241747834245618,0.7228630636219192,0.017168357208546283,0.31381912488503916,0.43598479611528096,0.5950282994587752,0.11611929417688864,0.4081187585226398,0.13638378685899133,0.6052163274819528,0.7850255770409612,0.22232646082653829,0.6908634566049389,0.8084250183051767,0.601024611704498,0.3568981607796455,0.058810976071539005,0.11269070878586662,0.4481389381790595,0.28875026684476607,0.3041933535867792,0.17788295265502832,0.5180290796344376,0.18389626996180297,0.3597238640583548,0.5463043088768474,0.1615062894542447,0.1495447881666115,0.5762548631280354,0.6083357202290673,0.2547658838013255,0.4262452943704298,0.1742602783676583,0.2350625948357595,0.44603767751672496,0.14379871158517255
xgb,0.765874203469686,0.20612631554973668,0.27011178280120984,0.04048515475840244,0.4810728824973136,0.6214710487382118,0.708101584901662,0.6672377352289917,0.11586865185683391,0.7950745427493885,0.16310890515987211,0.11355713175406552,0.016527087829389456,0.13074916816886442,0.498364077264047,0.1506104255680545,0.7583255984316937,0.21830403627406536,0.1481732231437968,0.46034965112685855,0.060728773026622475,0.12235974842934248,0.21311110479825665,0.406868778712234,0.5018874335992723,0.66192932678415,0.18070283254833008,0.14683334800814848,0.27235274395268216,0.1321281837099986,0.742037048193737,0.11161541681047614,0.05833811895703602,0.695373601843763,0.11467248685769067,0.15089476417963651,0.09385465384923601,0.05038372669567226,0.31487670751565483,0.8077045722417728,0.5114809227461014,0.7213974071175485,0.7488739149254796,0.14261762305024953,0.5188083344538296,0.6005842188146909,0.725098347516819,0.5966204546271874,0.004251206980745826,0.3558075828003336,0.09193942890126501,0.29244538119186186,0.32462693131361336,0.32291979354358996,0.3315942254988757,0.20133761858093133,0.22455100298726638,0.11848683160091306,0.01645725663108107,0.733639961788489,0.11918622701310876,0.3823788211871028,0.21475849904291933,0.6112117139095804,0.004251206980745826,0.017061099757165604,0.15394519951311456,0.7839273539157606,0.6762649796425412,0.6905942230645726,0.6893569072737913,0.07912547594391513,0.18486574265517328,0.4427646841033363,0.7962973813716872,0.09080923854445926,0.7385430301462029,0.20371286115059117,0.3550442145897861,0.8505343214789809,0.1978254877781804,0.2912310911992338,0.6020455426650554,0.14261762305024953,0.004251206980745826,0.3200525829836672,0.025815548704306097,0.3064856615922174,0.5654783848348192,0.2379877246334828,0.5497161707327481,0.38294326102981274,0.42041070440686396,0.0839938298903739,0.6891261752715834,0.04981795951443698,0.6496802650101956,0.046777252788669475,0.11961838300096256,0.09431169060729572,0.2288500541267583,0.0826121159073757,0.2594252213378483,0.11175219919840662,0.13806723583572778,0.6899787892904533,0.14261762305024953,0.183340321856437,0.09193942890126501,0.09327387591133424,0.30996405214578343,0.3331659366452375,0.024566321980654848,0.05040954084813498,0.4174238876736325,0.6925607074789116,0.05709253445481736,0.4078802738950748,0.2439890492228111,0.7450298261989641,0.3551758812615751,0.22027512687283055,0.7499098280113315,0.36366958137266003,0.6343319729522003,0.04336666559711627,0.004251206980745826,0.09276158123334292,0.503222423200525,0.10986671754725663,0.24512077658796796,0.24700930251514963,0.5519630235158931,0.16421714654863448,0.11880809924072573,0.6856588121656936,0.13706580852681693,0.2748967194660861,0.7590745626195465,0.7404358270297564,0.15125403341407204,0.324720098904499,0.010106806822496357,0.22888448316709922,0.20628368376586684,0.0785714583893972
